,case1,case2,case3
0,153.7469695197543,124.35748657854037,115.1071003393819
1,150.72834391889958,111.19029419669069,95.98052731132904
2,74.17021274991535,63.56841102263156,60.33873043744923
3,40.54398584616754,23.57821449205082,34.27001678797954
4,9.514733866651415,12.705421114237865,21.786008289963966
5,7.376213454428063,9.340675393319298,12.297450381547
6,0.5696949379294121,4.526363912579135,12.297450381547
7,-1.0432170947822255,-2.105765950114437,12.297450381547
8,-3.8889360029166964,-3.2257749215843603,4.55774065350004
9,-6.434017678057817,-4.5421641779858675,3.602922794854008
10,-8.677890401259017,-8.236541378366594,3.602922794854008
11,-8.677890401259017,-8.943223872265834,3.602922794854008
12,-8.811956307965346,-10.715988958004433,1.4879362782510401
13,-10.854138772138594,-12.315525837398571,0.44332008208593354
14,-11.17180876400824,-12.973486864495314,0.44332008208593354
15,-11.17180876400824,-13.361186186556761,-0.6975231882762856
16,-11.834737925721951,-13.373892495526224,-1.602524072773334
17,-12.792288157985396,-13.373892495526224,-2.5327303680191546
18,-16.440917139259728,-13.443848076658025,-3.4671483321582297
19,-16.440917139259728,-13.443848076658025,-3.4671483321582297
20,-16.951860571551553,-13.443848076658025,-3.4671483321582297
21,-17.54927562306967,-13.538977432610269,-3.4671483321582297
22,-17.54927562306967,-13.538977432610269,-3.4671483321582297
23,-17.78583638627535,-13.623186508681389,-4.58152345561073
24,-17.78583638627535,-13.675084337158207,-4.922377178604038
25,-17.902748642773762,-13.73722379480726,-5.679901448106821
26,-18.047537045138903,-13.758993601396048,-5.679901448106821
27,-18.047537045138903,-13.772367595241764,-7.674151986574307
28,-18.298484032514967,-13.862187365609376,-8.158959918790593
29,-18.488572879923787,-14.124610738236285,-8.60993985275317
30,-18.685248389518932,-14.198360662691055,-11.164520245193048
31,-18.685248389518932,-14.243627855243911,-11.164520245193048
32,-18.70670031447995,-14.44917942157399,-11.78259570703414
33,-18.782445216451784,-14.520195659502154,-12.445152753855062
34,-18.782445216451784,-14.584852559680346,-12.777525440622519
35,-18.795376635485404,-14.70424346865871,-12.871446433396018
36,-18.8106482323389,-14.900974947619261,-12.871446433396018
37,-18.811952677890364,-15.002549393164369,-12.871446433396018
38,-18.82346317568229,-15.013725112884519,-12.871446433396018
39,-18.82346317568229,-15.014279846897653,-12.990127882412146
40,-18.82346317568229,-15.014279846897653,-13.31099750177254
41,-18.82346317568229,-15.047707745776226,-13.368785671189112
42,-18.82346317568229,-15.08622137336797,-13.45823336699381
43,-18.830063994791026,-15.09931923542192,-13.45823336699381
