,outer_iter,case1_cost,case2_cost,case3_cost
0,1,286.8785707598179,222.5771603902999,223.1080002623823
1,2,3.2355877624209843,14.784807187320329,36.30740902064111
2,3,-5.6214941331891035,-2.76367190686227,-9.091657982460005
3,4,-10.035899931670812,-10.205773416003947,-13.83892075151539
4,5,-11.748204280282177,-12.42556201437328,-13.838920753985104
5,6,-18.40223368248389,-24.3641601337824,-17.86652439363878
6,7,-20.05889740581793,-27.463066675530758,-17.86652439363878
7,8,-22.530535620807473,-28.626747683216326,-19.308791042100516
8,9,-22.826007509759968,-29.997464199965936,-19.349561842427924
9,10,-22.840582802576485,-30.290341353286184,-21.308873000208223
